"598","Cueva de la Cocina","","1941","3","Principal","Triangle","No","0.18","0.4","Abrupte","Abrupte","Directa","Directa"
"600","Cueva de la Cocina","","1941","3","Zona D","Triangle","No","0.19","0.79","Abrupte","Abrupte","Directa","Directa"
"601","Cueva de la Cocina","","1941","3","Zona D","Triangle","No","0.16","0.76","Abrupte","Abrupte","Directa","Directa"
"603","Cueva de la Cocina","","1941","3","Zona D","Triangle","No","0.21","0.78","Abrupte","Abrupte","Directa","Directa"
"604","Cueva de la Cocina","","1941","3","Zona D","Trapezi","No","0.23","0.83","Abrupte","Abrupte","Directa","Directa"
"605","Cueva de la Cocina","","1941","3","Zona D","Trapezi","No","0.23","0.84","Abrupte","Abrupte","Directa","Directa"
"606","Cueva de la Cocina","","1941","3","Zona D","Trapezi","No","0.2","0.58","Abrupte","Abrupte","Directa","Directa"
"607","Cueva de la Cocina","","1941","3","Zona D","Trapezi","No","0.27","0.75","Abrupte","Abrupte","Directa","Directa"
"608","Cueva de la Cocina","","1941","3","Zona D","Trapezi","No","0.19","0.57","Abrupte","Abrupte","Directa","Directa"
"609","Cueva de la Cocina","","1941","3","Zona D","Trapezi","No","0.12","1.04","Abrupte","Abrupte","Directa","Directa"
"610","Cueva de la Cocina","","1941","3","Zona D","Triangle","No","0.21","0.79","Abrupte","Abrupte","Directa","Directa"
"611","Cueva de la Cocina","","1941","3","Zona D","Triangle","No","0.22","0.71","Abrupte","Abrupte","Directa","Directa"
"612","Cueva de la Cocina","","1941","3","Zona D","Triangle","No","0.16","0.79","Abrupte","Abrupte","Directa","Directa"
"614","Cueva de la Cocina","","1941","3","Zona D","Trapezi","No","0.18","0.76","Abrupte","Abrupte","Directa","Directa"
"615","Cueva de la Cocina","","1941","3","Zona D","Trapezi","No","0.23","0.97","Abrupte","Oblicu","Directa","Directa"
"618","Cueva de la Cocina","","1941","3","Zona D","Trapezi","No","0.13","0.93","Abrupte","Abrupte","Directa","Directa"
"619","Cueva de la Cocina","","1941","3","Zona D","Trapezi","No","0.15","0.9","Abrupte","Abrupte","Directa","Directa"
"625","Cueva de la Cocina","","1941","3","Zona D","Triangle","No","0.15","0.75","Abrupte","Abrupte","Directa","Directa"
"626","Cueva de la Cocina","","1941","3","Zona D","Triangle","No","0.14","0.85","Abrupte","Abrupte","Directa","Directa"
"627","Cueva de la Cocina","","1941","3","Zona D","Triangle","No","0.15","0.73","Abrupte","Abrupte","Directa","Directa"
"628","Cueva de la Cocina","","1941","3","Zona D","Triangle","No","0.23","0.6","Abrupte","Abrupte","Directa","Directa"
"629","Cueva de la Cocina","","1941","3","Zona D","Trapezi","No","0.18","0.49","Abrupte","Abrupte","Directa","Directa"
"630","Cueva de la Cocina","","1941","3","Zona D","Triangle","No","0.23","0.48","Abrupte","Abrupte","Directa","Directa"
"631","Cueva de la Cocina","","1941","3","Zona D","Triangle","No","0.24","0.59","Abrupte","Abrupte","Directa","Directa"
"632","Cueva de la Cocina","","1941","3","Zona D","Triangle","No","0.25","0.43","Abrupte","Abrupte","Directa","Directa"
"634","Cueva de la Cocina","","1941","3","Zona D","Triangle","No","0.23","0.71","Abrupte","Abrupte","Directa","Directa"
"635","Cueva de la Cocina","","1941","3","Zona D","Triangle","No","0.2","0.84","Abrupte","Abrupte","Directa","Directa"
"637","Cueva de la Cocina","","1941","3","Zona D","Trapezi","No","0.25","0.81","Abrupte","Abrupte","Directa","Directa"
"638","Cueva de la Cocina","","1941","3","Zona D","Trapezi","No","0.27","0.79","Abrupte","Abrupte","Directa","Directa"
"639","Cueva de la Cocina","","1941","3","Zona D","Trapezi","No","0.28","0.59","Abrupte","Abrupte","Directa","Directa"
"640","Cueva de la Cocina","","1941","3","Zona D","Trapezi","No","0.16","0.71","Abrupte","Abrupte","Directa","Directa"
